y_true,y_pred
0.277583,0.439855285
0.538679,0.6420138649999982
3.113238,3.113941749999999
2.373758,2.4001631049999985
-0.919956,-0.9102145800000012
0.806657,0.8781388600000004
1.933458,1.9719281250000014
4.118681,4.092260125000002
0.279877,0.22531850999999997
4.047798,4.028140805000008
4.739746,4.7386601400000075
2.908422,2.833586534999997
1.545766,1.5594423349999982
2.165393,2.1738300449999968
4.740398,4.742665165000002
5.105858,5.111458000000002
1.360623,1.4654384900000013
-5.761255,-5.513037304999999
4.872327,4.882841720000011
3.872758,3.857391130000006
3.849761,3.9075698900000044
3.61665,3.4606944150000056
1.220339,1.374520540000001
3.385023,3.3693333650000006
3.55727,3.5697291749999978
2.815779,2.736341795
2.747989,2.7581827350000028
3.21494,3.240896115
-0.077757,-0.07950915000000007
3.899623,3.8988239099999977
4.990101,4.987322774999998
2.738666,2.7699182849999984
2.552583,2.546863354999995
3.614703,3.596516534999998
4.753267,4.7545201749999935
3.43998,3.4460095750000006
5.669896,5.667603875000001
1.498485,1.6624845750000015
1.334582,1.5991456800000001
2.212674,2.2799375000000013
3.624355,3.617257545000005
2.225518,1.9635501300000022
4.993608,4.995936404999996
6.106736,6.106499365000003
6.196138,6.1883669100000045
0.650533,0.6578931550000005
-2.645102,-2.688411144999998
5.375488,5.155523590000005
6.185734,6.158864665000005
1.794201,1.8399524699999974
1.963551,2.027972625000003
-2.140419,-2.1215007950000033
4.294592,4.2988787599999965
4.233216,4.247389314999995
9.529148,9.527297784999979
5.860154,5.769985740000007
1.984925,2.2148269500000017
0.738207,0.6422710599999994
1.007427,1.0336425450000009
1.585487,1.5820376249999988
5.485318,5.512731855000002
3.462708,3.6401702999999936
1.919943,1.9725193950000002
2.903414,2.8648074100000036
2.225972,2.229515174999999
-0.004258,0.0005150100000000003
3.318883,3.296431819999998
5.907614,5.90331531500001
-4.502272,-4.573244229999991
-5.452795,-5.366117999999997
5.503295,5.497986644999993
3.974744,3.97250206999999
1.23666,1.2178276450000007
4.992429,4.994582789999999
2.24904,2.2802828600000016
3.542743,3.4682895299999994
4.259508,4.532311190000003
5.998549,6.22100504500001
4.945446,4.836055564999993
3.881242,3.8797804150000013
3.786518,3.7801557549999956
3.052172,2.9321954100000016
4.481132,4.483670100000004
0.788667,0.820657204999999
3.364651,3.368989590000002
0.243615,0.2373407450000005
2.809349,2.83361104
3.766022,3.8191414450000023
4.811063,4.812435970000009
1.639775,1.670593905
5.098354,5.127407859999988
3.168942,3.1734317199999937
5.205384,5.190412079999998
6.018349,5.997710020000002
9.677227,9.673246565000014
2.02166,1.9342477350000036
1.604017,1.5273561599999987
5.346468,5.340839180000014
-1.976933,-1.9046019649999983
5.324641,5.324980350000001
5.955714,5.960195510000002
0.793458,0.7542654450000018
5.787778,5.796505094999994
1.269673,1.276668790000001
5.133629,5.136139614999985
1.483725,1.5085039950000003
1.303039,1.3062885150000034
5.297839,5.295687510000017
1.234297,1.276087345000002
3.211342,3.2154962100000044
-1.842095,-1.835784250000002
4.383922,4.385970505000002
4.400912,4.388142690000004
2.902245,3.201437604999997
4.07492,4.073675999999995
2.25949,1.6198130400000001
-0.861726,-0.8561224299999992
1.123837,1.141808485000001
2.429938,2.4332586150000006
2.892524,2.8900617150000003
2.174914,2.236686995
